,L,max_stay_counter,m,n,quench,struc_count,ITC
280,6,6,0.2,1.2,0.2,82.62,230.8277544
281,6,6,0.2,1.2,0.3,79.54,229.5126269
282,6,6,0.2,1.2,0.4,84.64,228.9563062
283,6,6,0.2,1.2,0.5,77.52,231.2938834
284,6,6,0.2,1.2,0.65,88.78,229.7144662
285,6,6,0.2,1.2,0.8,80.98,228.7538785
286,6,6,0.2,1.2,1,77.64,230.8928986
287,6,6,0.2,1.2,2,85.1,231.1057466
288,6,6,0.2,1.3,0.1,71.58,231.6629853
289,6,6,0.2,1.3,0.2,82.84,229.8975662
290,6,6,0.2,1.3,0.3,77.16,229.5370132
291,6,6,0.2,1.3,0.4,77.08,231.0309455
292,6,6,0.2,1.3,0.5,79.58,233.013562
293,6,6,0.2,1.3,0.65,76.16,230.5462969
294,6,6,0.2,1.3,0.8,88.44,232.0756534
295,6,6,0.2,1.3,1,85.54,229.2478001
296,6,6,0.2,1.3,2,76.6,229.5142677
297,6,6,0.2,1.4,0.1,74.86,231.6674513
298,6,6,0.2,1.4,0.2,72.9,232.1396139
299,6,6,0.2,1.4,0.3,79.78,227.7010353
300,6,6,0.2,1.4,0.4,80.66,231.9430128
301,6,6,0.2,1.4,0.5,71.48,232.4251881
302,6,6,0.2,1.4,0.65,79.5,228.7016386
303,6,6,0.2,1.4,0.8,82.12,229.6984667
304,6,6,0.2,1.4,1,75.38,232.3231281
305,6,6,0.2,1.4,2,81.9,226.7865252
306,6,6,0.2,1.5,0.1,74.2,235.3395176
307,6,6,0.2,1.5,0.2,74.38,231.0287034
308,6,6,0.2,1.5,0.3,83.1,229.8867934
309,6,6,0.2,1.5,0.4,82.36,232.0511071
310,6,6,0.2,1.5,0.5,76,232.5897977
311,6,6,0.2,1.5,0.65,78.44,234.2675182
312,6,6,0.2,1.5,0.8,81.02,231.8374035
313,6,6,0.2,1.5,1,83.34,232.2663456
314,6,6,0.2,1.5,2,86.44,227.9477344
315,6,6,0.2,1.6,0.1,75.44,233.2528926
316,6,6,0.2,1.6,0.2,75.96,230.5434581
317,6,6,0.2,1.6,0.3,79.18,229.961107
318,6,6,0.2,1.6,0.4,75.36,231.6394885
319,6,6,0.2,1.6,0.5,74.22,233.2574535
320,6,6,0.2,1.6,0.65,81.46,231.1401754
321,6,6,0.2,1.6,0.8,85.88,233.088584
322,6,6,0.2,1.6,1,79.6,228.4927976
323,6,6,0.2,1.6,2,75.4,230.6688691
324,6,6,0.2,1.7,0.1,80.54,231.3075099
325,6,6,0.2,1.7,0.2,79.38,230.271174
326,6,6,0.2,1.7,0.3,79.92,231.627393
327,6,6,0.2,1.7,0.4,76.68,230.226224
328,6,6,0.2,1.7,0.5,80.94,230.2345057
329,6,6,0.2,1.7,0.65,85.46,229.1829182
