,L,max_stay_counter,m,n,quench,ITC
449,6,6,0.5,1.0,2.0,420.573424908
450,6,6,0.5,1.1,0.1,410.98484041800003
451,6,6,0.5,1.1,0.2,408.83148461999997
452,6,6,0.5,1.1,0.3,411.387448344
453,6,6,0.5,1.1,0.4,411.359583222
454,6,6,0.5,1.1,0.5,413.05865867999995
455,6,6,0.5,1.1,0.65,411.493170918
456,6,6,0.5,1.1,0.8,413.553326802
457,6,6,0.5,1.1,1.0,407.450701008
458,6,6,0.5,1.1,2.0,415.24419981600005
459,6,6,0.5,1.2,0.1,414.27508627799995
460,6,6,0.5,1.2,0.2,405.92406128999994
461,6,6,0.5,1.2,0.3,413.733632766
462,6,6,0.5,1.2,0.4,409.5083788019999
463,6,6,0.5,1.2,0.5,412.007635962
464,6,6,0.5,1.2,0.65,410.34486130199997
465,6,6,0.5,1.2,0.8,409.980818016
466,6,6,0.5,1.2,1.0,408.38318966399993
467,6,6,0.5,1.2,2.0,416.321537748
468,6,6,0.5,1.3,0.1,405.075558528
469,6,6,0.5,1.3,0.2,410.509830906
470,6,6,0.5,1.3,0.3,410.41423697399995
471,6,6,0.5,1.3,0.4,408.21353847
472,6,6,0.5,1.3,0.5,405.279142266
473,6,6,0.5,1.3,0.65,410.081456268
474,6,6,0.5,1.3,0.8,413.598969762
475,6,6,0.5,1.3,1.0,411.83877463799996
476,6,6,0.5,1.3,2.0,408.351595542
477,6,6,0.5,1.4,0.1,407.11135116000014
478,6,6,0.5,1.4,0.2,409.515636792
479,6,6,0.5,1.4,0.3,407.4980016780001
480,6,6,0.5,1.4,0.4,407.508349992
481,6,6,0.5,1.4,0.5,410.527212114
482,6,6,0.5,1.4,0.65,406.9304044859999
483,6,6,0.5,1.4,0.8,409.95349326
484,6,6,0.5,1.4,1.0,409.6865009280001
485,6,6,0.5,1.4,2.0,413.249894004
486,6,6,0.5,1.5,0.1,404.688507312
487,6,6,0.5,1.5,0.2,404.33505574199995
488,6,6,0.5,1.5,0.3,409.41874855800006
489,6,6,0.5,1.5,0.4,406.82308929
490,6,6,0.5,1.5,0.5,403.788359934
491,6,6,0.5,1.5,0.65,410.50350313200005
492,6,6,0.5,1.5,0.8,412.30326972600005
493,6,6,0.5,1.5,1.0,412.749987654
494,6,6,0.5,1.5,2.0,411.74319697799996
495,6,6,0.5,1.6,0.1,406.262404986
496,6,6,0.5,1.6,0.2,409.530583302
497,6,6,0.5,1.6,0.3,409.76554149000003
498,6,6,0.5,1.6,0.4,412.90918341
499,6,6,0.5,1.6,0.5,404.380015278
500,6,6,0.5,1.6,0.65,405.20104819200003
501,6,6,0.5,1.6,0.8,406.130255328
502,6,6,0.5,1.6,1.0,414.083067186
503,6,6,0.5,1.6,2.0,413.65870901999995
504,6,6,0.5,1.7,0.1,411.767179194
505,6,6,0.5,1.7,0.2,412.624542738
506,6,6,0.5,1.7,0.3,411.643015698
507,6,6,0.5,1.7,0.4,406.27557581400004
508,6,6,0.5,1.7,0.5,417.69444639
509,6,6,0.5,1.7,0.65,411.70483438200006
510,6,6,0.5,1.7,0.8,408.591467196
511,6,6,0.5,1.7,1.0,408.7737712260001
512,6,6,0.5,1.7,2.0,411.71755908599994
513,6,6,0.5,1.8,0.1,414.66251378399994
514,6,6,0.5,1.8,0.2,406.77366715799997
515,6,6,0.5,1.8,0.3,411.29808997800006
516,6,6,0.5,1.8,0.4,412.45346503199994
517,6,6,0.5,1.8,0.5,411.78792667199997
518,6,6,0.5,1.8,0.65,411.79656439200005
519,6,6,0.5,1.8,0.8,411.58961573999994
520,6,6,0.5,1.8,1.0,411.171860616
521,6,6,0.5,1.8,2.0,407.07851426400003
522,6,6,0.5,1.9,0.1,402.63611656200004
523,6,6,0.5,1.9,0.2,405.43448698199995
524,6,6,0.5,1.9,0.3,415.50008244
525,6,6,0.5,1.9,0.4,414.32895405599993
526,6,6,0.5,1.9,0.5,410.21795326200004
527,6,6,0.5,1.9,0.65,410.40185465999997
528,6,6,0.5,1.9,0.8,410.665873284
529,6,6,0.5,1.9,1.0,409.009364022
530,6,6,0.5,1.9,2.0,410.84479884
531,6,6,0.5,2.0,0.1,403.66166343000003
532,6,6,0.5,2.0,0.2,412.5837739200001
533,6,6,0.5,2.0,0.3,409.6029001380001
534,6,6,0.5,2.0,0.4,416.70601663199994
535,6,6,0.5,2.0,0.5,405.03643114799996
536,6,6,0.5,2.0,0.65,406.14303291600004
537,6,6,0.5,2.0,0.8,412.09119132599994
538,6,6,0.5,2.0,1.0,414.19604978399997
539,6,6,0.5,2.0,2.0,403.91508152399996
540,6,6,1.0,0.1,0.1,407.8000269479999
541,6,6,1.0,0.1,0.2,407.899484124
542,6,6,1.0,0.1,0.3,413.03395168200007
543,6,6,1.0,0.1,0.4,413.1715972079999
544,6,6,1.0,0.1,0.5,424.983869148
545,6,6,1.0,0.1,0.65,416.65900004400004
546,6,6,1.0,0.1,0.8,420.0564451620001
547,6,6,1.0,0.1,1.0,419.273912478
548,6,6,1.0,0.1,2.0,396.6483378660001
549,6,6,1.0,0.2,0.1,413.800145244
550,6,6,1.0,0.2,0.2,416.27023552199995
551,6,6,1.0,0.2,0.3,410.891725254
552,6,6,1.0,0.2,0.4,413.4073710299999
553,6,6,1.0,0.2,0.5,412.80268317
